fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,autobus,0.9357240796089172,1,1402,52,1918,476,True,0.6830157041549683,1604,255,1740,300,
1,coche,0.8438279032707214,2,1321,312,1398,371,False,,,,,,
1,coche,0.49115198850631714,3,1231,313,1279,343,False,,,,,,
1,coche,0.3493148684501648,4,1281,318,1320,343,False,,,,,,
1,coche,0.2969980239868164,5,1274,315,1312,343,False,,,,,,
2,autobus,0.9328944087028503,1,1407,56,1912,471,True,0.8872776031494141,1595,260,1728,300,"Us Palas bis,"
2,coche,0.8148317933082581,2,1320,312,1397,371,False,,,,,,
2,coche,0.4779469668865204,3,1231,313,1278,342,False,,,,,,
2,coche,0.32680562138557434,4,1281,318,1320,343,False,,,,,,
2,coche,0.28585219383239746,5,1272,315,1310,343,False,,,,,,
3,autobus,0.9363406896591187,1,1410,63,1903,467,True,0.8338235020637512,1586,259,1714,299,
3,coche,0.8184859156608582,2,1319,312,1396,371,False,,,,,,
3,coche,0.44405263662338257,3,1231,313,1277,342,False,,,,,,
3,coche,0.31584683060646057,4,1281,318,1320,343,False,,,,,,
3,coche,0.2732524871826172,5,1273,315,1310,342,False,,,,,,
4,autobus,0.8995084762573242,1,1409,67,1898,466,True,0.787726879119873,1851,405,1897,423,
4,coche,0.8380140662193298,2,1317,312,1395,371,False,,,,,,
4,coche,0.48595061898231506,3,1231,314,1277,342,False,,,,,,
4,coche,0.28771543502807617,4,1281,317,1320,343,False,,,,,,
4,coche,0.2764344811439514,5,1273,315,1311,343,False,,,,,,
5,autobus,0.9297316670417786,1,1413,72,1895,464,True,0.7552065849304199,1834,403,1894,422,
5,coche,0.816745936870575,2,1316,312,1394,371,False,,,,,,
5,coche,0.4523734152317047,3,1232,314,1279,343,False,,,,,,
5,coche,0.2706019878387451,4,1281,317,1320,343,False,,,,,,
5,coche,0.24773888289928436,5,1272,315,1310,343,False,,,,,,
6,autobus,0.9345743060112,1,1417,76,1894,462,True,0.717513382434845,1820,402,1887,420,
6,coche,0.8074600696563721,2,1316,312,1392,370,False,,,,,,
6,coche,0.4080609381198883,3,1232,313,1278,342,False,,,,,,
6,coche,0.24578619003295898,4,1282,317,1321,343,False,,,,,,
6,coche,0.23066599667072296,5,1271,315,1309,343,False,,,,,,
7,autobus,0.9344170689582825,1,1417,79,1892,461,True,0.830470621585846,1808,400,1871,418,
7,coche,0.7958817481994629,2,1315,312,1391,370,False,,,,,,
7,coche,0.45234692096710205,3,1231,314,1278,343,False,,,,,,
7,coche,0.24807316064834595,4,1282,317,1321,343,False,,,,,,
7,coche,0.24070729315280914,5,1270,315,1308,343,False,,,,,,
8,autobus,0.9351821541786194,1,1418,84,1888,458,True,0.8851814866065979,1793,398,1856,417,
8,coche,0.7872521877288818,2,1314,312,1389,369,False,,,,,,
8,coche,0.43596693873405457,3,1229,314,1276,343,False,,,,,,
8,coche,0.2405981868505478,4,1282,317,1320,343,False,,,,,,
8,coche,0.2336144745349884,5,1271,315,1308,343,False,,,,,,
9,autobus,0.9371792674064636,1,1418,88,1886,457,True,0.6885643601417542,1780,397,1841,416,
9,coche,0.7815163135528564,2,1313,312,1387,368,False,,,,,,
9,coche,0.4243621528148651,3,1229,315,1274,343,False,,,,,,
9,coche,0.23192988336086273,4,1282,318,1320,343,False,,,,,,
9,coche,0.22785905003547668,5,1273,316,1309,343,False,,,,,,
10,autobus,0.94050532579422,1,1417,92,1885,457,True,0.8994682431221008,1769,397,1829,414,
10,coche,0.8050704002380371,2,1312,312,1385,368,False,,,,,,
10,coche,0.4193548858165741,3,1228,315,1273,343,False,,,,,,
10,coche,0.2583886682987213,4,1283,318,1322,345,False,,,,,,
10,coche,0.22232429683208466,5,1274,316,1310,343,False,,,,,,
11,autobus,0.9372483491897583,1,1416,96,1884,456,True,0.8019469976425171,1755,396,1815,412,
11,coche,0.8014797568321228,2,1311,312,1384,367,False,,,,,,
11,coche,0.4036639332771301,3,1227,315,1272,343,False,,,,,,
11,coche,0.21103280782699585,5,1273,316,1310,343,False,,,,,,
12,autobus,0.9273744225502014,1,1415,97,1885,455,True,0.8833322525024414,1745,395,1803,410,
12,coche,0.7826135158538818,2,1310,312,1383,368,False,,,,,,
12,coche,0.4092802405357361,3,1226,315,1271,343,False,,,,,,
12,coche,0.21360090374946594,5,1271,316,1309,343,False,,,,,,
13,autobus,0.9315999746322632,1,1414,101,1883,453,True,0.9307815432548523,1734,394,1791,410,
13,coche,0.7879987955093384,2,1309,312,1382,368,False,,,,,,
13,coche,0.32233262062072754,3,1225,315,1267,342,False,,,,,,
13,coche,0.2017703652381897,5,1269,315,1308,343,False,,,,,,
14,autobus,0.9279440641403198,1,1409,104,1875,451,True,0.8949697613716125,1723,391,1779,409,
14,coche,0.7940630912780762,2,1308,312,1381,368,False,,,,,,
14,coche,0.27800577878952026,3,1225,315,1265,341,False,,,,,,
14,coche,0.19109655916690826,5,1268,315,1309,343,False,,,,,,
15,autobus,0.9187954664230347,1,1402,107,1867,451,True,0.8731404542922974,1712,391,1768,406,
15,coche,0.7781745195388794,2,1307,312,1380,368,False,,,,,,
15,coche,0.3009038269519806,3,1224,315,1265,341,False,,,,,,
15,coche,0.15860189497470856,5,1269,314,1311,343,False,,,,,,
16,autobus,0.9248064756393433,1,1394,111,1855,450,True,0.9091786742210388,1702,391,1757,405,
16,coche,0.7746441960334778,2,1307,312,1377,367,False,,,,,,
16,coche,0.3065529763698578,3,1224,315,1264,341,False,,,,,,
16,coche,0.157106414437294,5,1270,313,1312,343,False,,,,,,
17,autobus,0.9198166131973267,1,1391,114,1850,449,True,0.843683660030365,1693,389,1746,405,
17,coche,0.7818204760551453,2,1306,313,1376,367,False,,,,,,
17,coche,0.31713682413101196,3,1225,315,1264,341,False,,,,,,
17,coche,0.17679579555988312,5,1270,313,1313,343,False,,,,,,
18,autobus,0.9090569019317627,1,1388,117,1846,450,True,0.8038119673728943,1684,388,1736,403,
18,coche,0.7767425179481506,2,1306,313,1375,367,False,,,,,,
