fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,autobus,0.9357240796089172,1,1402,52,1918,476,True,0.6830157041549683,1604,255,1740,300,Ls Pahm Bs.
1,coche,0.8438279032707214,2,1321,312,1398,371,False,,,,,,
1,coche,0.49115198850631714,3,1231,313,1279,343,False,,,,,,
1,coche,0.3493148684501648,4,1281,318,1320,343,False,,,,,,
1,coche,0.2969980239868164,5,1274,315,1312,343,False,,,,,,
2,autobus,0.9328944087028503,1,1407,56,1912,471,True,0.8872776031494141,1595,260,1728,300,123456789.
2,coche,0.8148317933082581,2,1320,312,1397,371,False,,,,,,
2,coche,0.4779469668865204,3,1231,313,1278,342,False,,,,,,
2,coche,0.32680562138557434,4,1281,318,1320,343,False,,,,,,
2,coche,0.28585219383239746,5,1272,315,1310,343,False,,,,,,
3,autobus,0.9363406896591187,1,1410,63,1903,467,True,0.8338235020637512,1586,259,1714,299,15555.
3,coche,0.8184859156608582,2,1319,312,1396,371,False,,,,,,
3,coche,0.44405263662338257,3,1231,313,1277,342,False,,,,,,
3,coche,0.31584683060646057,4,1281,318,1320,343,False,,,,,,
3,coche,0.2732524871826172,5,1273,315,1310,342,False,,,,,,
4,autobus,0.8995084762573242,1,1409,67,1898,466,True,0.787726879119873,1851,405,1897,423,322.
4,coche,0.8380140662193298,2,1317,312,1395,371,False,,,,,,
4,coche,0.48595061898231506,3,1231,314,1277,342,False,,,,,,
4,coche,0.28771543502807617,4,1281,317,1320,343,False,,,,,,
4,coche,0.2764344811439514,5,1273,315,1311,343,False,,,,,,
5,autobus,0.9297316670417786,1,1413,72,1895,464,True,0.7552065849304199,1834,403,1894,422,32045.
5,coche,0.816745936870575,2,1316,312,1394,371,False,,,,,,
5,coche,0.4523734152317047,3,1232,314,1279,343,False,,,,,,
5,coche,0.2706019878387451,4,1281,317,1320,343,False,,,,,,
5,coche,0.24773888289928436,5,1272,315,1310,343,False,,,,,,
6,autobus,0.9345743060112,1,1417,76,1894,462,True,0.717513382434845,1820,402,1887,420,32245.
6,coche,0.8074600696563721,2,1316,312,1392,370,False,,,,,,
